VTX, IDX, POSITION.x, POSITION.y, POSITION.z, POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w
0, 0,  2.98023E-7,  1.06836, -0.6626,  1.00,  0.00, -0.65354,  0.75591,  0.00,  0.00,  0.82422,  0.44751,  0.604,  0.47876,  0.53613,  1.00,  0.02362,  0.02362,  1.00
1, 1,  2.38419E-7,  0.98584, -0.72412,  1.00,  0.00, -0.55118,  0.83465,  0.00,  0.00,  0.77881,  0.4397,  0.62012,  0.47314,  0.54785,  1.00,  0.02362,  0.01575,  1.00
2, 2,  0.07098,  0.98584, -0.7207,  1.00, -0.07874, -0.55118,  0.83465,  0.00,  0.01563,  0.77881,  0.42798,  0.61377,  0.46826,  0.54492,  0.99213,  0.00,  0.09449,  1.00
3, 0,  2.98023E-7,  1.06836, -0.6626,  1.00,  0.00, -0.65354,  0.75591,  0.00,  0.00,  0.82422,  0.44751,  0.604,  0.47876,  0.53613,  1.00,  0.02362,  0.02362,  1.00
4, 2,  0.07098,  0.98584, -0.7207,  1.00, -0.07874, -0.55118,  0.83465,  0.00,  0.01563,  0.77881,  0.42798,  0.61377,  0.46826,  0.54492,  0.99213,  0.00,  0.09449,  1.00
5, 3,  0.06494,  1.06836, -0.65918,  1.00, -0.07087, -0.65354,  0.75591,  0.00,  0.01563,  0.82422,  0.43726,  0.59814,  0.47485,  0.53418,  0.99213,  0.00,  0.09449,  1.00
6, 1,  2.38419E-7,  0.98584, -0.72412,  1.00,  0.00, -0.55118,  0.83465,  0.00,  0.00,  0.77881,  0.4397,  0.62012,  0.47314,  0.54785,  1.00,  0.02362,  0.01575,  1.00
7, 4,  0.07635,  0.88916, -0.77539,  1.00, -0.08661, -0.44094,  0.88976,  0.00,  0.01563,  0.71826,  0.41895,  0.62842,  0.46021,  0.55859,  0.99213,  0.00,  0.09449,  1.00
8, 2,  0.07098,  0.98584, -0.7207,  1.00, -0.07874, -0.55118,  0.83465,  0.00,  0.01563,  0.77881,  0.42798,  0.61377,  0.46826,  0.54492,  0.99213,  0.00,  0.09449,  1.00
9, 1,  2.38419E-7,  0.98584, -0.72412,  1.00,  0.00, -0.55118,  0.83465,  0.00,  0.00,  0.77881,  0.4397,  0.62012,  0.47314,  0.54785,  1.00,  0.02362,  0.01575,  1.00
10, 5,  1.19209E-7,  0.88916, -0.77881,  1.00,  0.00, -0.44094,  0.89764,  0.00,  0.00,  0.71826,  0.43237,  0.63574,  0.46631,  0.56201,  1.00,  0.01575,  0.00787,  1.00
11, 4,  0.07635,  0.88916, -0.77539,  1.00, -0.08661, -0.44094,  0.88976,  0.00,  0.01563,  0.71826,  0.41895,  0.62842,  0.46021,  0.55859,  0.99213,  0.00,  0.09449,  1.00
