VTX, IDX, POSITION.x, POSITION.y, POSITION.z, POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w
0, 0, -0.56494,  1.88574,  1.19824,  1.00, -0.37008,  0.14961,  0.92126,  0.00,  0.35686,  0.60392,  0.03137,  0.77255,  0.54053,  0.0048,  2.49805,  0.65674, ---, ---, ---, ---
1, 1, -0.27539,  1.61816,  0.4563,  1.00, -0.41732,  0.11811,  0.90551,  0.00,  0.35686,  0.60392,  0.03137,  0.63137,  0.88379,  0.69629,  2.49805,  0.65674, ---, ---, ---, ---
2, 2, -0.49316,  2.0332,  0.85938,  1.00, -0.41732,  0.19685,  0.88976,  0.00,  0.35686,  0.60392,  0.03137,  0.59216,  0.94922,  0.2229,  3.00195,  0.58057, ---, ---, ---, ---
3, 3, -0.68457,  1.63477,  0.56104,  1.00, -0.68504,  0.11024,  0.72441,  0.00,  0.62353,  0.92549,  0.73333,  0.87451,  0.88281,  0.69629,  2.49805,  0.65674, ---, ---, ---, ---
4, 4, -0.56494,  1.88574,  1.19824,  1.00, -0.37008,  0.14961,  0.92126,  0.00,  0.64706,  0.9451,  0.66667,  0.77255,  0.54004,  0.0039,  2.49805,  0.65674, ---, ---, ---, ---
5, 5, -0.27539,  1.61816,  0.4563,  1.00, -0.41732,  0.11811,  0.90551,  0.00,  0.70196,  0.94902,  0.41176,  0.63137,  0.42188,  0.8999,  2.49805,  0.65674, ---, ---, ---, ---
6, 6, -0.15491,  1.86328,  1.04395,  1.00, -0.11024,  0.15748,  0.98425,  0.00,  0.7098,  0.92941,  0.34902,  0.74902,  0.09113,  0.2561,  2.49805,  0.65674, ---, ---, ---, ---
7, 5, -0.27539,  1.61816,  0.4563,  1.00, -0.41732,  0.11811,  0.90551,  0.00,  0.70196,  0.94902,  0.41176,  0.63137,  0.42188,  0.8999,  2.49805,  0.65674, ---, ---, ---, ---
8, 4, -0.56494,  1.88574,  1.19824,  1.00, -0.37008,  0.14961,  0.92126,  0.00,  0.64706,  0.9451,  0.66667,  0.77255,  0.54004,  0.0039,  2.49805,  0.65674, ---, ---, ---, ---
9, 6, -0.15491,  1.86328,  1.04395,  1.00, -0.11024,  0.15748,  0.98425,  0.00,  0.7098,  0.92941,  0.34902,  0.74902,  0.09113,  0.2561,  2.49805,  0.65674, ---, ---, ---, ---
