VTX, IDX, POSITION.x, POSITION.y, POSITION.z, POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w
0, 0,  1.58008,  1.67969, -0.35864,  1.00,  0.3937,  0.91339, -0.08661,  0.00,  1.00,  1.00,  1.00,  0.00,  0.37451,  0.59229,  0.37451,  0.59229, -0.81102,  0.30709, -0.49606, -1.00
1, 1,  0.56104,  1.7373,  1.66895,  1.00,  0.13386,  0.90551,  0.3937,  0.00,  1.00,  1.00,  1.00,  0.00,  0.35645,  0.38135,  0.35645,  0.38135, -0.80315,  0.33071, -0.48819, -1.00
2, 2,  2.08984,  0.67041,  1.77734,  1.00,  0.43307,  0.85827,  0.28346,  0.00,  1.00,  1.00,  1.00,  0.00,  0.22937,  0.44751,  0.22937,  0.44751, -0.71654,  0.51969, -0.46457, -1.00
3, 3,  0.06033,  1.9541,  0.12238,  1.00,  0.00787,  1.00,  0.02362,  0.00,  1.00,  1.00,  1.00,  0.00,  0.47192,  0.47974,  0.47192,  0.47974, -0.85039,  0.01575, -0.52756, -1.00
4, 1,  0.56104,  1.7373,  1.66895,  1.00,  0.13386,  0.90551,  0.3937,  0.00,  1.00,  1.00,  1.00,  0.00,  0.35645,  0.38135,  0.35645,  0.38135, -0.80315,  0.33071, -0.48819, -1.00
5, 0,  1.58008,  1.67969, -0.35864,  1.00,  0.3937,  0.91339, -0.08661,  0.00,  1.00,  1.00,  1.00,  0.00,  0.37451,  0.59229,  0.37451,  0.59229, -0.81102,  0.30709, -0.49606, -1.00
6, 4, -1.43652,  1.68359,  0.62451,  1.00, -0.32283,  0.92913,  0.15748,  0.00,  1.00,  1.00,  1.00,  0.00,  0.56641,  0.36646,  0.56641,  0.36646, -0.84252, -0.20472, -0.49606, -1.00
7, 1,  0.56104,  1.7373,  1.66895,  1.00,  0.13386,  0.90551,  0.3937,  0.00,  1.00,  1.00,  1.00,  0.00,  0.35645,  0.38135,  0.35645,  0.38135, -0.80315,  0.33071, -0.48819, -1.00
8, 3,  0.06033,  1.9541,  0.12238,  1.00,  0.00787,  1.00,  0.02362,  0.00,  1.00,  1.00,  1.00,  0.00,  0.47192,  0.47974,  0.47192,  0.47974, -0.85039,  0.01575, -0.52756, -1.00
9, 4, -1.43652,  1.68359,  0.62451,  1.00, -0.32283,  0.92913,  0.15748,  0.00,  1.00,  1.00,  1.00,  0.00,  0.56641,  0.36646,  0.56641,  0.36646, -0.84252, -0.20472, -0.49606, -1.00
10, 5, -1.38477,  0.6875,  2.28906,  1.00, -0.29921,  0.80315,  0.51181,  0.00,  1.00,  1.00,  1.00,  0.00,  0.48071,  0.23669,  0.48071,  0.23669, -0.86614, -0.00787, -0.49606, -1.00
11, 1,  0.56104,  1.7373,  1.66895,  1.00,  0.13386,  0.90551,  0.3937,  0.00,  1.00,  1.00,  1.00,  0.00,  0.35645,  0.38135,  0.35645,  0.38135, -0.80315,  0.33071, -0.48819, -1.00
12, 3,  0.06033,  1.9541,  0.12238,  1.00,  0.00787,  1.00,  0.02362,  0.00,  1.00,  1.00,  1.00,  0.00,  0.47192,  0.47974,  0.47192,  0.47974, -0.85039,  0.01575, -0.52756, -1.00
13, 6, -0.38916,  1.82129, -1.41309,  1.00, -0.11024,  0.91339, -0.38583,  0.00,  1.00,  1.00,  1.00,  0.00,  0.58252,  0.57959,  0.58252,  0.57959, -0.81102, -0.30709, -0.49606, -1.00
14, 4, -1.43652,  1.68359,  0.62451,  1.00, -0.32283,  0.92913,  0.15748,  0.00,  1.00,  1.00,  1.00,  0.00,  0.56641,  0.36646,  0.56641,  0.36646, -0.84252, -0.20472, -0.49606, -1.00
15, 0,  1.58008,  1.67969, -0.35864,  1.00,  0.3937,  0.91339, -0.08661,  0.00,  1.00,  1.00,  1.00,  0.00,  0.37451,  0.59229,  0.37451,  0.59229, -0.81102,  0.30709, -0.49606, -1.00
16, 6, -0.38916,  1.82129, -1.41309,  1.00, -0.11024,  0.91339, -0.38583,  0.00,  1.00,  1.00,  1.00,  0.00,  0.58252,  0.57959,  0.58252,  0.57959, -0.81102, -0.30709, -0.49606, -1.00
17, 3,  0.06033,  1.9541,  0.12238,  1.00,  0.00787,  1.00,  0.02362,  0.00,  1.00,  1.00,  1.00,  0.00,  0.47192,  0.47974,  0.47192,  0.47974, -0.85039,  0.01575, -0.52756, -1.00
18, 4, -1.43652,  1.68359,  0.62451,  1.00, -0.32283,  0.92913,  0.15748,  0.00,  1.00,  1.00,  1.00,  0.00,  0.56641,  0.36646,  0.56641,  0.36646, -0.84252, -0.20472, -0.49606, -1.00
