VTX, IDX, POSITION.x, POSITION.y, POSITION.z, POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD1.z, TEXCOORD1.w, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w
0, 68,  1.52344,  1.45703,  1.02246,  1.00,  0.51969, -0.20472,  0.82677,  0.00,  1.00,  1.00,  1.00,  1.00,  0.8042,  0.61719,  0.09412,  0.24314,  0.83137,  0.23922, -0.76378,  0.31496,  0.55906, -1.00
1, 69,  0.36353,  1.56055,  1.76465,  1.00,  0.51969, -0.19685,  0.83465,  0.00,  1.00,  1.00,  1.00,  1.00,  0.86475,  0.59814,  0.81961,  0.20784,  0.24314,  0.24314, -0.73228,  0.40157,  0.55118, -1.00
2, 70,  2.04883,  0.84424,  0.52686,  1.00,  0.53543, -0.20472,  0.8189,  0.00,  1.00,  1.00,  1.00,  1.00,  0.76367,  0.59814,  0.09804,  0.25098,  0.75686,  0.22745, -0.77953,  0.25197,  0.5748, -1.00
3, 71,  0.43237,  1.76953,  1.76855,  1.00,  0.56693,  0.00787,  0.82677,  0.00,  1.00,  1.00,  1.00,  1.00,  0.86475,  0.60645,  0.92157,  0.21176,  0.07843,  0.24706, -0.76378,  0.38583,  0.51969, -1.00
4, 69,  0.36353,  1.56055,  1.76465,  1.00,  0.51969, -0.19685,  0.83465,  0.00,  1.00,  1.00,  1.00,  1.00,  0.86475,  0.59814,  0.81961,  0.20784,  0.24314,  0.24314, -0.73228,  0.40157,  0.55118, -1.00
5, 68,  1.52344,  1.45703,  1.02246,  1.00,  0.51969, -0.20472,  0.82677,  0.00,  1.00,  1.00,  1.00,  1.00,  0.8042,  0.61719,  0.09412,  0.24314,  0.83137,  0.23922, -0.76378,  0.31496,  0.55906, -1.00
6, 72,  2.1875,  1.26855,  0.53271,  1.00,  0.54331, -0.18898,  0.8189,  0.00,  1.00,  1.00,  1.00,  1.00,  0.76416,  0.61719,  0.37647,  0.25098,  0.07451,  0.23922, -0.7874,  0.22047,  0.5748, -1.00
7, 68,  1.52344,  1.45703,  1.02246,  1.00,  0.51969, -0.20472,  0.82677,  0.00,  1.00,  1.00,  1.00,  1.00,  0.8042,  0.61719,  0.09412,  0.24314,  0.83137,  0.23922, -0.76378,  0.31496,  0.55906, -1.00
8, 70,  2.04883,  0.84424,  0.52686,  1.00,  0.53543, -0.20472,  0.8189,  0.00,  1.00,  1.00,  1.00,  1.00,  0.76367,  0.59814,  0.09804,  0.25098,  0.75686,  0.22745, -0.77953,  0.25197,  0.5748, -1.00
9, 68,  1.52344,  1.45703,  1.02246,  1.00,  0.51969, -0.20472,  0.82677,  0.00,  1.00,  1.00,  1.00,  1.00,  0.8042,  0.61719,  0.09412,  0.24314,  0.83137,  0.23922, -0.76378,  0.31496,  0.55906, -1.00
