VTX, IDX, POSITION.x, POSITION.y, POSITION.z, POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w
0, 0,  1.57031,  6.30859, -3.65039,  1.00,  0.55118,  0.65354, -0.51969,  0.00,  0.19608,  0.37647,  0.12157,  0.21961,  0.99658,  0.71875,  0.14331, -0.26953, ---, ---, ---, ---
1, 1,  0.29248,  6.03906, -2.5332,  1.00,  0.3937,  0.84252, -0.37795,  0.00,  0.19608,  0.37647,  0.12157,  0.29804,  0.00964,  0.27246, -0.06812,  0.34863, ---, ---, ---, ---
2, 2,  0.75879,  6.95313, -3.20703,  1.00,  0.45669,  0.76378, -0.45669,  0.00,  0.19608,  0.37647,  0.12157,  0.09412,  0.3064,  1.00293, -0.06812,  0.34863, ---, ---, ---, ---
3, 3,  0.47314,  5.60938, -3.61719,  1.00,  0.48031,  0.73228, -0.48031,  0.00,  0.25098,  0.88627,  0.30196,  0.40784,  1.04785,  0.68164,  0.14331, -0.26953, ---, ---, ---, ---
4, 4,  0.13977,  6.00781, -2.41406,  1.00,  0.43307,  0.79528, -0.4252,  0.00,  0.38039,  0.98431,  0.47843,  0.28235,  0.75195,  0.01089, -0.06812,  0.34863, ---, ---, ---, ---
5, 5,  1.70215,  6.33594, -3.75781,  1.00,  0.51969,  0.68504, -0.51181,  0.00,  0.38039,  0.98431,  0.47843,  0.47059,  0.30396,  1.00586,  0.14331, -0.26953, ---, ---, ---, ---
6, 6,  1.43945,  5.88281, -2.32227,  1.00,  0.58268,  0.75591, -0.28346,  0.00,  0.53333,  0.97255,  0.6549,  0.26667,  0.01697,  0.25366,  0.14331, -0.26953, ---, ---, ---, ---
7, 5,  1.70215,  6.33594, -3.75781,  1.00,  0.51969,  0.68504, -0.51181,  0.00,  0.38039,  0.98431,  0.47843,  0.47059,  0.30396,  1.00586,  0.14331, -0.26953, ---, ---, ---, ---
8, 4,  0.13977,  6.00781, -2.41406,  1.00,  0.43307,  0.79528, -0.4252,  0.00,  0.38039,  0.98431,  0.47843,  0.28235,  0.75195,  0.01089, -0.06812,  0.34863, ---, ---, ---, ---
9, 7, -0.99609,  5.60938, -3.00391,  1.00,  0.07087,  0.84252, -0.54331,  0.00,  0.5451,  0.70588,  0.04706,  0.12549,  0.99658,  0.71875, -0.06812,  0.34863, ---, ---, ---, ---
