VTX, IDX, POSITION.x, POSITION.y, POSITION.z, POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD1.z, TEXCOORD1.w, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w
0, 0,  0.51465,  5.60547, -1.90332,  1.00, -0.9685, -0.1811, -0.16535,  0.00, ---, ---, ---, ---,  0.73047,  0.41431,  0.11765,  0.21961,  0.60784,  0.27059,  1.00,  0.00,  0.00,  0.00
1, 1,  0.61914,  5.625, -1.59766,  1.00, -0.17323,  0.8189,  0.54331,  0.00, ---, ---, ---, ---,  0.64941,  0.36255,  0.95686,  0.21961,  0.62745,  0.27059,  1.00,  0.00,  0.00,  0.00
2, 2,  0.62695,  5.76563, -1.81348,  1.00, -0.23622,  0.8189,  0.52756,  0.00, ---, ---, ---, ---,  0.64941,  0.41431,  0.01569,  0.22353,  0.76863,  0.27059,  1.00,  0.00,  0.00,  0.00
3, 1,  0.61914,  5.625, -1.59766,  1.00, -0.17323,  0.8189,  0.54331,  0.00, ---, ---, ---, ---,  0.64941,  0.36255,  0.95686,  0.21961,  0.62745,  0.27059,  1.00,  0.00,  0.00,  0.00
4, 0,  0.51465,  5.60547, -1.90332,  1.00, -0.9685, -0.1811, -0.16535,  0.00, ---, ---, ---, ---,  0.73047,  0.41431,  0.11765,  0.21961,  0.60784,  0.27059,  1.00,  0.00,  0.00,  0.00
5, 3,  0.50439,  5.43359, -1.65527,  1.00, -0.87402, -0.37795, -0.29921,  0.00, ---, ---, ---, ---,  0.73047,  0.36255,  0.03529,  0.21961,  0.43529,  0.27059,  1.00,  0.00,  0.00,  0.00
6, 4,  0.70068,  5.51172, -1.96582,  1.00,  0.23622, -0.77953, -0.58268,  0.00, ---, ---, ---, ---,  0.81543,  0.41431,  0.60784,  0.22353,  0.51373,  0.27059,  1.00,  0.00,  0.00,  0.00
7, 3,  0.50439,  5.43359, -1.65527,  1.00, -0.87402, -0.37795, -0.29921,  0.00, ---, ---, ---, ---,  0.73047,  0.36255,  0.03529,  0.21961,  0.43529,  0.27059,  1.00,  0.00,  0.00,  0.00
8, 0,  0.51465,  5.60547, -1.90332,  1.00, -0.9685, -0.1811, -0.16535,  0.00, ---, ---, ---, ---,  0.73047,  0.41431,  0.11765,  0.21961,  0.60784,  0.27059,  1.00,  0.00,  0.00,  0.00
9, 3,  0.50439,  5.43359, -1.65527,  1.00, -0.87402, -0.37795, -0.29921,  0.00, ---, ---, ---, ---,  0.73047,  0.36255,  0.03529,  0.21961,  0.43529,  0.27059,  1.00,  0.00,  0.00,  0.00
10, 4,  0.70068,  5.51172, -1.96582,  1.00,  0.23622, -0.77953, -0.58268,  0.00, ---, ---, ---, ---,  0.81543,  0.41431,  0.60784,  0.22353,  0.51373,  0.27059,  1.00,  0.00,  0.00,  0.00
11, 5,  0.70605,  5.22266, -1.57422,  1.00,  0.40157, -0.73228, -0.54331,  0.00, ---, ---, ---, ---,  0.81543,  0.36255,  0.65098,  0.22353,  0.22353,  0.27059,  1.00,  0.00,  0.00,  0.00
