VTX, IDX, POSITION.x, POSITION.y, POSITION.z, POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w
0, 0,  0.51221,  4.16406,  0.18884,  1.00,  0.9685, -0.19685, -0.16535,  0.00,  0.51373,  0.21176,  0.9098,  0.5451,  0.99658,  0.71875,  0.25537,  0.96338, ---, ---, ---, ---
1, 1,  2.23242,  3.95117, -0.02635,  1.00,  0.98425, -0.10236, -0.16535,  0.00,  0.51373,  0.21176,  0.9098,  0.04706,  0.00964,  0.27246,  0.29272,  0.28687, ---, ---, ---, ---
2, 2,  1.44141,  4.72266,  0.55078,  1.00,  0.99213,  0.05512,  0.12598,  0.00,  0.51373,  0.21176,  0.9098,  0.40784,  0.3064,  1.00293,  0.25537,  0.96338, ---, ---, ---, ---
3, 3,  1.42285,  3.26758,  0.53613,  1.00,  0.94488, -0.31496,  0.12598,  0.00,  0.58039,  0.74902,  0.92549,  0.71765,  1.04785,  0.68164,  0.95996,  0.10663, ---, ---, ---, ---
4, 4,  2.42969,  3.92188, -0.04199,  1.00,  0.98425, -0.10236, -0.16535,  0.00,  0.58431,  0.92157,  0.75686,  0.15686,  0.75195,  0.01089,  0.29272,  0.28687, ---, ---, ---, ---
5, 5,  0.33887,  4.18359,  0.20532,  1.00,  0.88189, -0.19685, -0.43307,  0.00,  0.58431,  0.92157,  0.75686,  0.63922,  0.30396,  1.00586,  0.25537,  0.96338, ---, ---, ---, ---
6, 6,  1.42969,  4.11328, -0.89795,  1.00,  0.86614, -0.08661, -0.48819,  0.00,  0.56471,  0.99608,  0.53333,  0.5451,  0.01697,  0.25366,  0.95996,  0.10663, ---, ---, ---, ---
7, 5,  0.33887,  4.18359,  0.20532,  1.00,  0.88189, -0.19685, -0.43307,  0.00,  0.58431,  0.92157,  0.75686,  0.63922,  0.30396,  1.00586,  0.25537,  0.96338, ---, ---, ---, ---
8, 4,  2.42969,  3.92188, -0.04199,  1.00,  0.98425, -0.10236, -0.16535,  0.00,  0.58431,  0.92157,  0.75686,  0.15686,  0.75195,  0.01089,  0.29272,  0.28687, ---, ---, ---, ---
9, 7,  2.625,  4.47266,  0.79492,  1.00,  0.99213, -0.05512,  0.13386,  0.00,  0.49804,  0.91765,  0.22353,  0.48627,  1.04785,  0.68164,  3.98047,  0.19421, ---, ---, ---, ---
