VTX, IDX, POSITION.x, POSITION.y, POSITION.z, POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD1.z, TEXCOORD1.w, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w
0, 0,  1.34277,  0.54199,  0.0113,  1.00,  0.92913,  0.29921,  0.20472,  0.00, ---, ---, ---, ---,  0.0979,  0.10968,  0.37255,  0.23922,  0.33725,  0.21961, -0.19685, -0.06299,  0.97638, -1.00
1, 1,  1.83105,  0.00884, -1.00684,  1.00,  0.83465,  0.55118, -0.07087,  0.00, ---, ---, ---, ---,  0.0412,  0.00103,  0.32549,  0.24706,  0.52941,  0.12549,  0.11024, -0.0315,  0.99213, -1.00
2, 2,  1.43555,  0.61621, -0.7041,  1.00,  0.84252,  0.53543, -0.09449,  0.00, ---, ---, ---, ---,  0.0412,  0.10968,  0.7451,  0.23922,  0.93333,  0.21961,  0.1811, -0.11024,  0.97638, -1.00
3, 1,  1.83105,  0.00884, -1.00684,  1.00,  0.83465,  0.55118, -0.07087,  0.00, ---, ---, ---, ---,  0.0412,  0.00103,  0.32549,  0.24706,  0.52941,  0.12549,  0.11024, -0.0315,  0.99213, -1.00
4, 0,  1.34277,  0.54199,  0.0113,  1.00,  0.92913,  0.29921,  0.20472,  0.00, ---, ---, ---, ---,  0.0979,  0.10968,  0.37255,  0.23922,  0.33725,  0.21961, -0.19685, -0.06299,  0.97638, -1.00
5, 3,  1.52148,  0.0097, -0.01019,  1.00,  0.91339,  0.33071,  0.23622,  0.00, ---, ---, ---, ---,  0.0979,  0.00103,  0.08627,  0.24314,  0.96863,  0.12549, -0.24409, -0.01575,  0.9685, -1.00
6, 4,  1.14355,  0.48926,  0.93408,  1.00,  0.74016,  0.40945,  0.53543,  0.00, ---, ---, ---, ---,  0.15698,  0.10968,  0.57647,  0.23529,  0.83137,  0.21569, -0.58268,  0.00,  0.81102, -1.00
7, 3,  1.52148,  0.0097, -0.01019,  1.00,  0.91339,  0.33071,  0.23622,  0.00, ---, ---, ---, ---,  0.0979,  0.00103,  0.08627,  0.24314,  0.96863,  0.12549, -0.24409, -0.01575,  0.9685, -1.00
8, 0,  1.34277,  0.54199,  0.0113,  1.00,  0.92913,  0.29921,  0.20472,  0.00, ---, ---, ---, ---,  0.0979,  0.10968,  0.37255,  0.23922,  0.33725,  0.21961, -0.19685, -0.06299,  0.97638, -1.00
9, 3,  1.52148,  0.0097, -0.01019,  1.00,  0.91339,  0.33071,  0.23622,  0.00, ---, ---, ---, ---,  0.0979,  0.00103,  0.08627,  0.24314,  0.96863,  0.12549, -0.24409, -0.01575,  0.9685, -1.00
